
<!-- saved from url=(0136)http://www.dwa.gov.za/hydrology/Verified/HyData.aspx?Station=W4H013100.00&DataType=Daily&StartDT=2000-01-01&EndDT=2019-04-09&SiteType=DC -->
<html xmlns="http://www.w3.org/1999/xhtml" class="gr__dwa_gov_za"><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"></head><body data-gr-c-s-loaded="true"><p></p><pre>Data are continuously updated and reviewed.
The format of this file is as follows:
POS.  1-8   = Date of daily flow  CCYYMMDD
POS. 10-18  = Daily avg flow rate in cubic metres/sec 99999.999
POS. 20-24  = Quality code

W4H013
Variable 100.00 Surface Water Level

DATE     D AVG F/R  QUAL
20000101     4.996     1
20000102     4.969     1
20000103     5.006     1
20000104     5.012     1
20000105     5.051     1
20000106     5.076     1
20000107     5.082     1
20000108     5.114     1
20000109     5.053     1
20000110     4.976     1
20000111     4.977     1
20000112     5.009     1
20000113     5.004     1
20000114     5.024     1
20000115     5.018     1
20000116     5.124     1
20000117     7.758     1
20000118    36.476     1
20000119    63.924     1
20000120    78.597     1
20000121    86.385     1
20000122    90.785     1
20000123    91.943     1
20000124    89.593     1
20000125    86.150     1
20000126    83.724     1
20000127    83.092     1
20000128    84.027     1
20000129    85.850     1
20000130    82.638     1
20000131    78.904     1
20000201    75.569     1
20000202    72.547     1
20000203    69.179     1
20000204    66.051     1
20000205    65.894     1
20000206    70.289     1
20000207    73.843     1
20000208    76.258     1
20000209   109.233     1
20000210   178.075     1
20000211   214.265     1
20000212   278.042     1
20000213   279.573     1
20000214   294.663     1
20000215   292.020     1
20000216   341.987     1
20000217   360.998     1
20000218   330.412     1
20000219   297.568     1
20000220   266.916     1
20000221   238.603     1
20000222   214.392     1
20000223   195.564     1
20000224   184.245     1
20000225   176.013     1
20000226   171.112     1
20000227   162.132     1
20000228   150.526     1
20000229   141.053     1
20000301   131.392     1
20000302   125.139     1
20000303   119.736     1
20000304   118.989     1
20000305   115.306     1
20000306   111.631     1
20000307   110.062     1
20000308   104.272     1
20000309    99.273     1
20000310    94.997     1
20000311    92.324     1
20000312    84.852     1
20000313    80.731     1
20000314    77.027     1
20000315    76.018     1
20000316    78.073     1
20000317    92.331     1
20000318   115.102     1
20000319   113.942     1
20000320   110.489     1
20000321   114.586     1
20000322   111.125     1
20000323   108.243     1
20000324   104.790     1
20000325    99.746     1
20000326    95.562     1
20000327    89.794     1
20000328    84.770     1
20000329    81.584     1
20000330    79.615     1
20000331    81.163     1
20000401    87.230     1
20000402    91.409     1
20000403    89.410     1
20000404    86.276     1
20000405    91.809     1
20000406    99.373     1
20000407   104.296     1
20000408   109.954     1
20000409   110.605     1
20000410   107.566     1
20000411   103.819     1
20000412   100.240     1
20000413    96.954     1
20000414    93.076     1
20000415    89.760     1
20000416    88.929     1
20000417    86.537     1
20000418    83.477     1
20000419    80.576     1
20000420    77.729     1
20000421    76.499     1
20000422    75.011     1
20000423    73.654     1
20000424    72.179     1
20000425    70.960     1
20000426    68.029     1
20000427    64.396     1
20000428    61.872     1
20000429    59.741     1
20000430    57.989     1
20000501    56.084     1
20000502    54.823     1
20000503    53.845     1
20000504    52.257     1
20000505    50.652     1
20000506    51.096     1
20000507    52.811     1
20000508    54.979     1
20000509    54.881     1
20000510    54.138     1
20000511    53.399     1
20000512    52.172     1
20000513    51.472     1
20000514    50.957     1
20000515    50.863     1
20000516    50.292     1
20000517    50.159     1
20000518    49.281     1
20000519    47.478     1
20000520    47.097     1
20000521    47.100     1
20000522    46.452     1
20000523    45.050     1
20000524    43.737     1
20000525    60.041     1
20000526    64.533     1
20000527    62.667     1
20000528    62.415     1
20000529    62.293     1
20000530    62.348     1
20000531    62.200     1
20000601    62.047     1
20000602    62.090     1
20000603    61.966     1
20000604    61.929     1
20000605    61.954     1
20000606    61.860     1
20000607    61.814     1
20000608    61.837     1
20000609    61.802     1
20000610    61.779     1
20000611    61.785     1
20000612    38.233     1
20000613    20.468     1
20000614    13.270     1
20000615     9.922     1
20000616     9.122     1
20000617     7.758     1
20000618     9.326     1
20000619    10.728     1
20000620    10.722     1
20000621    10.743     1
20000622    10.740     1
20000623    10.739     1
20000624    10.713     1
20000625    10.730     1
20000626    10.731     1
20000627    10.776     1
20000628    10.764     1
20000629    10.767     1
20000630    10.777     1
20000701    10.775     1
20000702    10.778     1
20000703    10.741     1
20000704    11.396     1
20000705    10.822     1
20000706    10.804     1
20000707    10.813     1
20000708    10.816     1
20000709    11.095     1
20000710    10.848     1
20000711    10.875     1
20000712    10.878     1
20000713    10.889     1
20000714    10.896     1
20000715    10.891     1
20000716    10.884     1
20000717    10.825     1
20000718    10.858     1
20000719    10.867     1
20000720    10.888     1
20000721    10.851     1
20000722    10.866     1
20000723    10.849     1
20000724     7.147     1
20000725     5.448     1
20000726     7.316     1
20000727     6.785     1
20000728     5.897     1
20000729     5.897     1
20000730     5.887     1
20000731     5.894     1
20000801     5.895     1
20000802     5.818     1
20000803     5.817     1
20000804     5.817     1
20000805     5.823     1
20000806     5.801     1
20000807     5.812     1
20000808     5.822     1
20000809     5.839     1
20000810     5.843     1
20000811     5.853     1
20000812     5.933     1
20000813     5.951     1
20000814     5.945     1
20000815     5.949     1
20000816     5.965     1
20000817     5.967     1
20000818     5.964     1
20000819     5.978     1
20000820     5.996     1
20000821     6.001     1
20000822     6.011     1
20000823     6.003     1
20000824     6.013     1
20000825     5.998     1
20000826     6.013     1
20000827     6.031     1
20000828     6.029     1
20000829     6.024     1
20000830     6.035     1
20000831     6.017     1
20000901     6.025     1
20000902     6.045     1
20000903     6.061     1
20000904     6.066     1
20000905     6.264     1
20000906     6.073     1
20000907     6.083     1
20000908     6.092     1
20000909     6.095     1
20000910     6.093     1
20000911     6.091     1
20000912     6.090     1
20000913     6.088     1
20000914     6.086     1
20000915     6.085     1
20000916     6.083     1
20000917     6.081     1
20000918     6.080     1
20000919     6.078     1
20000920     6.077     1
20000921     6.075     1
20000922     6.073     1
20000923     6.072     1
20000924     6.070     1
20000925     6.068     1
20000926    28.456     1
20000927    52.273     1
20000928    78.440     1
20000929   108.644     1
20000930   156.466     1
20001001   252.093     1
20001002   337.311     1
20001003   376.601     1
20001004   374.010     1
20001005   439.676     1
20001006   402.403     1
20001007   398.230     1
20001008   394.256     1
20001009   393.168     1
20001010   351.940     1
20001011   343.105     1
20001012   326.927     1
20001013   345.115     1
20001014   290.885     1
20001015   201.215     1
20001016   116.974     1
20001017    72.742     1
20001018    24.389     1
20001019     8.687     1
20001020     8.076     1
20001021     7.043     1
20001022     6.389     1
20001023     6.398     1
20001024     6.412     1
20001025     6.437     1
20001026     6.446     1
20001027     6.391     1
20001028     6.390     1
20001029     6.395     1
20001030     6.386     1
20001031     6.346     1
20001101     6.396     1
20001102     6.399     1
20001103     6.408     1
20001104     6.402     1
20001105     6.412     1
20001106     6.379     1
20001107     6.363     1
20001108     6.414     1
20001109     6.495     1
20001110     6.501     1
20001111     6.470     1
20001112     6.472     1
20001113     6.455     1
20001114     6.437     1
20001115     6.431     1
20001116     6.496     1
20001117     6.460     1
20001118     6.533     1
20001119     6.679     1
20001120     6.533     1
20001121     6.480     1
20001122     6.438     1
20001123     6.412     1
20001124     6.474     1
20001125     6.489     1
20001126     6.500     1
20001127     6.522     1
20001128     6.527     1
20001129     6.537     1
20001130     6.527     1
20001201     6.532     1
20001202     6.546     1
20001203     6.572     1
20001204     6.613     1
20001205     6.592     1
20001206     6.601     1
20001207     6.603     1
20001208     6.611     1
20001209     6.609     1
20001210     6.634     1
20001211     6.995     1
20001212     6.667     1
20001213     7.109     1
20001214     6.660     1
20001215     6.654     1
20001216     6.658     1
20001217     6.645     1
20001218     6.667     1
20001219     6.663     1
20001220     6.679     1
20001221     6.665     1
20001222     6.664     1
20001223     6.666     1
20001224     6.684     1
20001225     6.710     1
20001226     6.682     1
20001227     6.687     1
20001228     6.711     1
20001229     6.739     1
20001230     6.731     1
20001231     6.732     1
20010101     6.773     1
20010102     6.711     1
20010103     6.686     1
20010104     6.686     1
20010105     6.696     1
20010106     6.710     1
20010107     6.724     1
20010108     6.762     1
20010109     6.750     1
20010110     6.770     1
20010111     6.758     1
20010112     6.752     1
20010113     6.747     1
20010114     6.774     1
20010115     6.822     1
20010116     6.745     1
20010117     6.735     1
20010118     5.617     1
20010119    12.211     1
20010120    12.204     1
20010121    12.220     1
20010122     9.648     1
20010123     8.536     1
20010124    10.347     1
20010125     9.961     1
20010126    13.392     1
20010127    12.337     1
20010128    12.417     1
20010129    12.528     1
20010130    12.720     1
20010131    12.966     1
20010201    13.132     1
20010202    13.309     1
20010203    13.549     1
20010204    12.997     1
20010205    11.830     1
20010206     8.275     1
20010207    10.493     1
20010208    10.175     1
20010209    10.342     1
20010210    10.342     1
20010211    10.403     1
20010212    10.453     1
20010213    10.488     1
20010214    10.516     1
20010215    10.566     1
20010216    12.642     1
20010217    12.762     1
20010218    12.891     1
20010219    13.009     1
20010220    12.972     1
20010221    13.248     1
20010222    13.617     1
20010223    13.439     1
20010224    15.248     1
20010225    15.671     1
20010226    16.883     1
20010227    17.604     1
20010228    18.415     1
20010301    18.838     1
20010302    18.810     1
20010303    18.810     1
20010304    18.521     1
20010305    18.375     1
20010306    17.698     1
20010307    17.671     1
20010308    18.506     1
20010309    17.805     1
20010310    17.487     1
20010311    17.302     1
20010312     8.479     1
20010313     1.279     1
20010314     1.402     1
20010315     6.892     1
20010316    12.269     1
20010317    14.399     1
20010318    15.156     1
20010319    15.249     1
20010320    14.686     1
20010321    14.314     1
20010322    14.431     1
20010323    14.450     1
20010324    14.581     1
20010325    14.665     1
20010326    14.863     1
20010327    15.019     1
20010328    15.110     1
20010329    14.411     1
20010330    14.177     1
20010331    14.401     1
20010401    14.466     1
20010402    14.653     1
20010403    14.865     1
20010404    15.084     1
20010405    15.147     1
20010406    15.298     1
20010407    15.446     1
20010408    15.545     1
20010409    15.575     1
20010410    15.927     1
20010411    16.406     1
20010412    17.665     1
20010413    20.708     1
20010414    23.944     1
20010415    25.422     1
20010416    25.874     1
20010417    26.327     1
20010418    27.010     1
20010419    26.653     1
20010420    26.411     1
20010421    26.051     1
20010422    25.510     1
20010423    25.194     1
20010424    24.468     1
20010425    24.548     1
20010426    23.123     1
20010427    22.791     1
20010428    22.405     1
20010429    21.796     1
20010430    21.172     1
20010501    23.298     1
20010502    22.994     1
20010503    23.236     1
20010504    13.896     1
20010505     6.042     1
20010506     6.696     1
20010507     6.487     1
20010508     6.791     1
20010509     6.169     1
20010510     6.038     1
20010511     6.473     1
20010512     6.021     1
20010513     6.124     1
20010514     6.022     1
20010515    11.323     1
20010516    16.981     1
20010517    18.979     1
20010518    18.272     1
20010519    17.418     1
20010520    16.987     1
20010521    19.049     1
20010522    20.157     1
20010523    19.696     1
20010524    19.600     1
20010525    20.953     1
20010526    21.522     1
20010527    21.171     1
20010528    21.253     1
20010529    21.399     1
20010530    21.478     1
20010531    21.533     1
20010601    21.608     1
20010602    21.643     1
20010603    21.726     1
20010604    21.748     1
20010605    21.842     1
20010606    21.760     1
20010607    21.759     1
20010608    21.803     1
20010609    21.925     1
20010610    21.984     1
20010611    22.034     1
20010612    22.066     1
20010613    22.121     1
20010614    22.684     1
20010615    22.310     1
20010616    22.337     1
20010617    22.415     1
20010618    22.471     1
20010619    22.489     1
20010620    22.575     1
20010621    22.528     1
20010622    22.579     1
20010623    22.499     1
20010624    22.475     1
20010625    22.503     1
20010626    22.583     1
20010627    22.495     1
20010628    22.471     1
20010629    23.862     1
20010630    26.035     1
20010701    26.814     1
20010702    26.831     1
20010703    26.852     1
20010704    26.839     1
20010705    26.857     1
20010706    26.803     1
20010707    26.749     1
20010708    26.768     1
20010709    26.793     1
20010710    26.801     1
20010711    26.770     1
20010712    26.821     1
20010713    26.803     1
20010714    17.593     1
20010715    15.892     1
20010716    15.891     1
20010717    15.885     1
20010718    15.873     1
20010719    15.857     1
20010720    15.856     1
20010721    15.816     1
20010722    15.788     1
20010723    15.794     1
20010724    15.746     1
20010725    13.346     1
20010726    11.067     1
20010727    11.091     1
20010728    11.108     1
20010729    11.104     1
20010730    11.110     1
20010731    11.094     1
20010801    11.095     1
